date	monde_i	monde_m	monde_g	monde_e	hors-chine_i	hors-chine_m	hors-chine_g	hors-chine_e	afrique_i	afrique_m	afrique_g	amerique_i	amerique_m	amerique_g	asie_i	asie_m	asie_g	europe_i	europe_m	europe_g	oceanie_i	oceanie_m	oceanie_g	autres_i	autres_m	autres_g	autres_e
16.12.2019	41	0	0	41	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
31.12.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09.01.2020	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.01.2020	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.01.2020	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.01.2020	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19.01.2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.01.2020	239	4	0	235	2	0	0	2	0	0	0	0	0	0	239	4	0	0	0	0	0	0	0	0	0	0	0
21.01.2020	50	0	25	25	2	0	0	2	0	0	0	1	0	0	49	0	25	0	0	0	0	0	0	0	0	0	0
22.01.2020	223	2	3	218	2	0	0	2	0	0	0	0	0	0	223	2	3	0	0	0	0	0	0	0	0	0	0
23.01.2020	94	8	2	84	2	0	0	2	0	0	0	0	0	0	94	8	2	0	0	0	0	0	0	0	0	0	0
24.01.2020	290	9	6	275	13	0	0	13	0	0	0	1	0	0	286	9	6	0	0	0	3	0	0	0	0	0	0
25.01.2020	1135	15	13	1107	11	0	0	11	0	0	0	0	0	0	1131	15	13	3	0	0	1	0	0	0	0	0	0
26.01.2020	736	40	5	691	19	0	0	19	0	0	0	4	0	0	732	40	5	0	0	0	0	0	0	0	0	0	0
27.01.2020	1783	27	9	1747	25	1	0	24	0	0	0	1	0	0	1780	27	9	1	0	0	1	0	0	0	0	0	0
28.01.2020	1584	26	47	1511	12	0	0	12	0	0	0	1	0	0	1577	26	47	4	0	0	2	0	0	0	0	0	0
29.01.2020	1735	38	23	1674	17	0	0	17	0	0	0	0	0	0	1733	38	23	2	0	0	0	0	0	0	0	0	0
30.01.2020	2040	43	8	1989	27	0	0	27	0	0	0	1	0	0	2033	43	8	4	0	0	2	0	0	0	0	0	0
31.01.2020	2001	46	79	1876	28	0	0	28	0	0	0	2	0	0	1988	46	79	8	0	0	3	0	0	0	0	0	0
01.02.2020	2697	-2	64	2635	15	0	0	15	0	0	0	1	0	0	2695	-2	64	1	0	0	0	0	0	0	0	0	0
02.02.2020	2919	105	203	2611	9	1	0	8	0	0	0	3	0	0	2914	105	203	2	0	0	0	0	0	0	0	0	0
03.02.2020	3094	64	134	2896	6	0	0	6	0	0	0	0	0	0	3092	64	134	2	0	0	0	0	0	0	0	0	0
