date	monde_i	monde_m	monde_g	monde_e	hors-chine_i	hors-chine_m	hors-chine_g	hors-chine_e	afrique_i	afrique_m	afrique_g	amerique_i	amerique_m	amerique_g	asie_i	asie_m	asie_g	europe_i	europe_m	europe_g	oceanie_i	oceanie_m	oceanie_g	autres_i	autres_m	autres_g	autres_e
16.12.2019	41	0	0	41	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
31.12.2019	41	0	0	41	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
09.01.2020	41	1	0	40	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0
10.01.2020	41	1	0	40	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0
11.01.2020	41	1	0	40	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0
12.01.2020	41	1	0	40	0	0	0	0	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0
13.01.2020	42	1	0	41	1	0	0	1	0	0	0	0	0	0	42	1	0	0	0	0	0	0	0	0	0	0	0
14.01.2020	42	1	0	41	1	0	0	1	0	0	0	0	0	0	42	1	0	0	0	0	0	0	0	0	0	0	0
15.01.2020	43	1	0	42	2	0	0	2	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0
16.01.2020	43	1	0	42	2	0	0	2	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0
17.01.2020	43	1	0	42	2	0	0	2	0	0	0	0	0	0	43	1	0	0	0	0	0	0	0	0	0	0	0
18.01.2020	43	2	0	41	2	0	0	2	0	0	0	0	0	0	43	2	0	0	0	0	0	0	0	0	0	0	0
19.01.2020	43	2	0	41	2	0	0	2	0	0	0	0	0	0	43	2	0	0	0	0	0	0	0	0	0	0	0
20.01.2020	282	6	0	276	4	0	0	4	0	0	0	0	0	0	282	6	0	0	0	0	0	0	0	0	0	0	0
21.01.2020	332	6	25	301	6	0	0	6	0	0	0	1	0	0	331	6	25	0	0	0	0	0	0	0	0	0	0
22.01.2020	555	8	28	519	8	0	0	8	0	0	0	1	0	0	554	8	28	0	0	0	0	0	0	0	0	0	0
23.01.2020	649	16	30	603	10	0	0	10	0	0	0	1	0	0	648	16	30	0	0	0	0	0	0	0	0	0	0
24.01.2020	939	25	36	878	23	0	0	23	0	0	0	2	0	0	934	25	36	0	0	0	3	0	0	0	0	0	0
25.01.2020	2074	40	49	1985	34	0	0	34	0	0	0	2	0	0	2065	40	49	3	0	0	4	0	0	0	0	0	0
26.01.2020	2810	80	54	2676	53	0	0	53	0	0	0	6	0	0	2797	80	54	3	0	0	4	0	0	0	0	0	0
27.01.2020	4593	107	63	4423	78	1	0	77	0	0	0	7	0	0	4577	107	63	4	0	0	5	0	0	0	0	0	0
28.01.2020	6177	133	110	5934	90	1	0	89	0	0	0	8	0	0	6154	133	110	8	0	0	7	0	0	0	0	0	0
29.01.2020	7912	171	133	7608	107	1	0	106	0	0	0	8	0	0	7887	171	133	10	0	0	7	0	0	0	0	0	0
30.01.2020	9952	214	141	9597	134	1	0	133	0	0	0	9	0	0	9920	214	141	14	0	0	9	0	0	0	0	0	0
31.01.2020	11953	260	220	11473	162	1	0	161	0	0	0	11	0	0	11908	260	220	22	0	0	12	0	0	0	0	0	0
01.02.2020	14650	258	284	14108	177	1	0	176	0	0	0	12	0	0	14603	258	284	23	0	0	12	0	0	0	0	0	0
02.02.2020	17569	363	487	16719	186	2	0	184	0	0	0	15	0	0	17517	363	487	25	0	0	12	0	0	0	0	0	0
03.02.2020	20663	427	621	19615	192	2	0	190	0	0	0	15	0	0	20609	427	621	27	0	0	12	0	0	0	0	0	0
04.02.2020	24590	494	899	23197	227	3	0	224	0	0	0	16	0	0	24523	494	899	28	0	0	13	0	0	10	0	0	10
05.02.2020	28318	567	1100	26651	258	3	0	255	0	0	0	17	0	0	28239	567	1100	28	0	0	14	0	0	20	0	0	20
06.02.2020	31461	640	1500	29321	300	3	0	297	0	0	0	19	0	0	31355	640	1500	31	0	0	15	0	0	41	0	0	41
07.02.2020	34884	726	2000	32158	338	3	0	335	0	0	0	19	0	0	34754	726	2000	32	0	0	15	0	0	64	0	0	64
08.02.2020	37558	815	2600	34143	360	3	0	357	0	0	0	19	0	0	37423	815	2600	37	0	0	15	0	0	64	0	0	64
09.02.2020	40554	912	3200	36442	383	3	0	380	0	0	0	19	0	0	40411	912	3200	39	0	0	15	0	0	70	0	0	70
10.02.2020	43097	1020	3900	38177	459	3	0	456	0	0	0	20	0	0	42884	1020	3900	43	0	0	15	0	0	135	0	0	135
11.02.2020	45172	1117	4700	39355	519	3	0	516	0	0	0	20	0	0	44916	1117	4700	46	0	0	15	0	0	175	0	0	175
12.02.2020	46998	1371	5200	40427	526	3	0	523	0	0	0	21	0	0	46741	1371	5200	46	0	0	15	0	0	175	0	0	175
13.02.2020	64437	1385	6300	56752	586	4	0	582	0	0	0	22	0	0	64136	1385	6300	46	0	0	15	0	0	218	0	0	218
14.02.2020	65102	1529	8100	55473	610	5	0	605	1	0	0	22	0	0	64800	1528	8100	46	1	0	15	0	0	218	0	0	218
15.02.2020	69267	1671	9400	58196	767	5	0	762	1	0	0	22	0	0	68827	1670	9400	47	1	0	15	0	0	355	0	0	355
16.02.2020	71429	1778	10900	58751	881	6	0	875	1	0	0	22	0	0	70890	1777	10900	47	1	0	15	0	0	454	0	0	454
17.02.2020	73332	1876	12600	58856	896	6	0	890	1	0	0	23	0	0	72792	1875	12600	47	1	0	15	0	0	454	0	0	454
18.02.2020	75203	2012	14400	58791	1018	6	0	1012	1	0	0	23	0	0	74575	2011	14400	47	1	0	15	0	0	542	0	0	542
19.02.2020	75695	2130	16100	57465	1119	9	0	1110	1	0	0	23	0	0	74988	2129	16100	47	1	0	15	0	0	621	0	0	621
20.02.2020	76769	2250	18200	56319	1304	11	0	1293	1	0	0	23	0	0	76047	2247	18200	47	1	0	17	0	0	634	2	0	632
21.02.2020	77794	2362	18900	56532	1506	14	0	1492	1	0	0	43	0	0	77042	2359	18900	53	1	0	21	0	0	634	2	0	632
22.02.2020	78811	2465	22900	53446	1875	20	0	1855	1	0	0	44	0	0	77990	2460	22900	120	3	0	22	0	0	634	2	0	632
23.02.2020	79325	2622	23400	53303	2175	27	0	2148	1	0	0	44	0	0	78399	2615	23400	168	4	0	22	0	0	691	3	0	688
24.02.2020	80233	2703	25200	52330	2575	37	0	2538	1	0	0	63	0	0	79183	2693	25200	273	7	0	22	0	0	691	3	0	688
25.02.2020	81118	2765	27867	50486	3054	47	243	2764	2	0	0	64	0	8	79953	2750	27819	385	12	29	23	0	11	691	3	0	688
26.02.2020	82297	2807	30311	49179	3800	60	269	3471	2	0	0	71	0	9	81010	2789	30251	486	14	30	23	0	11	705	4	10	691
27.02.2020	83665	2861	33242	47562	4831	70	363	4398	2	0	0	71	0	12	82065	2838	33139	798	19	70	24	0	11	705	4	10	691
28.02.2020	85423	2926	36676	45821	6162	88	408	5666	3	0	0	79	0	12	83490	2898	36566	1121	23	77	25	0	11	705	5	10	690
29.02.2020	87162	2978	39750	44434	7328	108	489	6731	3	0	1	93	1	13	84889	2940	39638	1446	31	77	26	0	11	705	6	10	689
01.03.2020	88949	3044	42660	43245	8913	132	551	8230	3	0	1	103	1	13	85987	2999	42547	2123	37	78	28	1	11	705	6	10	689
02.03.2020	90291	3079	45571	41641	10265	167	782	9316	6	0	1	140	6	13	86689	3011	45355	2720	55	181	31	1	11	705	6	10	689
03.03.2020	92828	3159	48189	41480	12677	214	813	11650	11	0	1	163	7	15	88553	3061	47959	3355	84	193	40	1	11	706	6	10	690
